Year,Country,ISO3,Continent,Ind Code,Industry,Value (LCU),Value (USD)
2013,Argentina,ARG,South America,D,Manufacture of paper products and printing,36549.26,6694.8
2013,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,28232.48,5171.4
2013,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,64157.74,11751.9
2013,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,27961.7,5121.8
2013,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,22916.71,4197.7
2013,Argentina,ARG,South America,I,Manufacture of basic metals,32491.87,5951.6
2013,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",81568.14,14941.0
2013,Argentina,ARG,South America,K,Manufacture of transport equipment,37034.05,6783.6
2014,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",246251.62,30494.5
2014,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",60431.36,7483.5
2014,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",10580.23,1310.2
2014,Argentina,ARG,South America,D,Manufacture of paper products and printing,46825.32,5798.6
2014,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,42351.61,5244.6
2014,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,88069.81,10906.1
2014,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,37018.7,4584.2
2014,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,30506.79,3777.8
2014,Argentina,ARG,South America,I,Manufacture of basic metals,47467.3,5878.1
2014,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",103388.61,12803.1
2014,Argentina,ARG,South America,K,Manufacture of transport equipment,42259.56,5233.2
2015,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",307877.03,33344.6
2015,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",79402.66,8599.7
2015,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",14136.94,1531.1
2015,Argentina,ARG,South America,D,Manufacture of paper products and printing,59846.77,6481.7
2015,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,46598.06,5046.8
2015,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,106069.04,11487.8
2015,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,49875.85,5401.8
2015,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,39893.84,4320.7
2015,Argentina,ARG,South America,I,Manufacture of basic metals,50876.72,5510.2
2015,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",134888.59,14609.1
2015,Argentina,ARG,South America,K,Manufacture of transport equipment,49320.93,5341.7
2016,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",423413.66,28690.1
2016,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",96612.95,6546.4
2016,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",18062.54,1223.9
2016,Argentina,ARG,South America,D,Manufacture of paper products and printing,80855.64,5478.7
2016,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,56534.16,3830.7
2016,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,157238.08,10654.3
2016,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,60973.42,4131.5
2016,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,49228.86,3335.7
2016,Argentina,ARG,South America,I,Manufacture of basic metals,62962.82,4266.3
2016,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",172068.56,11659.2
2016,Argentina,ARG,South America,K,Manufacture of transport equipment,69493.32,4708.8
2017,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",523066.94,31581.0
2017,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",104608.42,6315.9
2017,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",22712.44,1371.3
2017,Argentina,ARG,South America,D,Manufacture of paper products and printing,101786.13,6145.5
2017,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,61520.53,3714.4
2017,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,194464.44,11741.1
2017,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,71386.94,4310.1
2017,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,65283.58,3941.6
2017,Argentina,ARG,South America,I,Manufacture of basic metals,87346.76,5273.7
2017,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",215664.7,13021.1
2017,Argentina,ARG,South America,K,Manufacture of transport equipment,87601.83,5289.1
2018,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",701427.94,24966.3
2018,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",121434.98,4322.3
2018,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",29196.31,1039.2
2018,Argentina,ARG,South America,D,Manufacture of paper products and printing,133046.62,4735.6
2018,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,93561.94,3330.2
2018,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,274229.59,9760.8
2018,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,94483.45,3363.0
2018,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,92595.47,3295.8
2018,Argentina,ARG,South America,I,Manufacture of basic metals,147554.89,5252.0
2018,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",273808.16,9745.8
2018,Argentina,ARG,South America,K,Manufacture of transport equipment,131094.03,4666.1
2000,Australia,AUS,Oceania,A,"Manufacture of food products, beverages and tobacco products",19295.29,11186.8
2000,Australia,AUS,Oceania,B,"Manufacture of textiles, wearing apparel, leather and related products",2967.56,1720.5
2000,Australia,AUS,Oceania,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3428.61,1987.8
2000,Australia,AUS,Oceania,D,Manufacture of paper products and printing,6665.94,3864.7
