Country ISO3,Country,Year,ISIC Division,ISIC Division Desc,Measure,Value LCU,Value USD
ARG,Argentina,2011,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,42353760000.0,10304700000.0
ARG,Argentina,2011,22,Manufacture of rubber and plastics products,Current prices,18376440000.0,4471000000.0
ARG,Argentina,2011,23,Manufacture of other non-metallic mineral products,Current prices,15129430000.0,3681000000.0
ARG,Argentina,2011,24,Manufacture of basic metals,Current prices,25679740000.0,6247900000.0
ARG,Argentina,2011,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,58106280000.0,14137300000.0
ARG,Argentina,2011,29-30,Manufacture of transport equipment,Current prices,25283530000.0,6151500000.0
ARG,Argentina,2012,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,142204170000.0,31343700000.0
ARG,Argentina,2012,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,36227390000.0,7985000000.0
ARG,Argentina,2012,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,6796320000.0,1498000000.0
ARG,Argentina,2012,17-18,Manufacture of paper products and printing,Current prices,28618950000.0,6308000000.0
ARG,Argentina,2012,19,Manufacture of coke and refined petroleum products,Current prices,23001330000.0,5069800000.0
ARG,Argentina,2012,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,51302240000.0,11307700000.0
ARG,Argentina,2012,22,Manufacture of rubber and plastics products,Current prices,22334850000.0,4922900000.0
ARG,Argentina,2012,23,Manufacture of other non-metallic mineral products,Current prices,17298860000.0,3812900000.0
ARG,Argentina,2012,24,Manufacture of basic metals,Current prices,26557830000.0,5853700000.0
ARG,Argentina,2012,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,66593060000.0,14678000000.0
ARG,Argentina,2012,29-30,Manufacture of transport equipment,Current prices,27751950000.0,6116900000.0
ARG,Argentina,2013,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,174878810000.0,32032900000.0
ARG,Argentina,2013,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,45658180000.0,8363299999.999999
ARG,Argentina,2013,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,8535690000.000001,1563500000.0
ARG,Argentina,2013,17-18,Manufacture of paper products and printing,Current prices,36549260000.0,6694800000.0
ARG,Argentina,2013,19,Manufacture of coke and refined petroleum products,Current prices,28232480000.0,5171400000.0
ARG,Argentina,2013,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,64157740000.0,11751900000.0
ARG,Argentina,2013,22,Manufacture of rubber and plastics products,Current prices,27961700000.0,5121800000.0
ARG,Argentina,2013,23,Manufacture of other non-metallic mineral products,Current prices,22916710000.0,4197700000.0
ARG,Argentina,2013,24,Manufacture of basic metals,Current prices,32491870000.0,5951600000.0
ARG,Argentina,2013,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,81568140000.0,14941000000.0
ARG,Argentina,2013,29-30,Manufacture of transport equipment,Current prices,37034050000.0,6783600000.0
ARG,Argentina,2014,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,246251620000.0,30494500000.0
ARG,Argentina,2014,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,60431360000.0,7483500000.0
ARG,Argentina,2014,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,10580230000.0,1310200000.0
ARG,Argentina,2014,17-18,Manufacture of paper products and printing,Current prices,46825320000.0,5798600000.0
ARG,Argentina,2014,19,Manufacture of coke and refined petroleum products,Current prices,42351610000.0,5244600000.0
ARG,Argentina,2014,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,88069810000.0,10906100000.0
ARG,Argentina,2014,22,Manufacture of rubber and plastics products,Current prices,37018700000.0,4584200000.0
ARG,Argentina,2014,23,Manufacture of other non-metallic mineral products,Current prices,30506790000.0,3777800000.0
ARG,Argentina,2014,24,Manufacture of basic metals,Current prices,47467300000.0,5878100000.0
ARG,Argentina,2014,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,103388610000.0,12803100000.0
ARG,Argentina,2014,29-30,Manufacture of transport equipment,Current prices,42259560000.0,5233200000.0
ARG,Argentina,2015,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,307877030000.0,33344600000.0
ARG,Argentina,2015,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,79402660000.0,8599700000.0
ARG,Argentina,2015,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,14136940000.0,1531100000.0
ARG,Argentina,2015,17-18,Manufacture of paper products and printing,Current prices,59846770000.0,6481700000.0
ARG,Argentina,2015,19,Manufacture of coke and refined petroleum products,Current prices,46598060000.0,5046800000.0
ARG,Argentina,2015,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,106069040000.0,11487800000.0
ARG,Argentina,2015,22,Manufacture of rubber and plastics products,Current prices,49875850000.0,5401800000.0
ARG,Argentina,2015,23,Manufacture of other non-metallic mineral products,Current prices,39893840000.0,4320700000.0
ARG,Argentina,2015,24,Manufacture of basic metals,Current prices,50876720000.0,5510200000.0
ARG,Argentina,2015,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,134888590000.0,14609100000.0
ARG,Argentina,2015,29-30,Manufacture of transport equipment,Current prices,49320930000.0,5341700000.0
ARG,Argentina,2016,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,423413660000.0,28690100000.0
ARG,Argentina,2016,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,96612950000.0,6546400000.0
ARG,Argentina,2016,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,18062540000.0,1223900000.0
ARG,Argentina,2016,17-18,Manufacture of paper products and printing,Current prices,80855640000.0,5478700000.0
ARG,Argentina,2016,19,Manufacture of coke and refined petroleum products,Current prices,56534160000.0,3830700000.0
ARG,Argentina,2016,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,157238080000.0,10654300000.0
ARG,Argentina,2016,22,Manufacture of rubber and plastics products,Current prices,60973420000.0,4131500000.0
ARG,Argentina,2016,23,Manufacture of other non-metallic mineral products,Current prices,49228860000.0,3335700000.0
ARG,Argentina,2016,24,Manufacture of basic metals,Current prices,62962820000.0,4266300000.0
ARG,Argentina,2016,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,172068560000.0,11659200000.0
ARG,Argentina,2016,29-30,Manufacture of transport equipment,Current prices,69493320000.0,4708800000.0
ARG,Argentina,2017,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,523066940000.0,31581000000.0
ARG,Argentina,2017,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,104608420000.0,6315900000.0
ARG,Argentina,2017,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,22712440000.0,1371300000.0
ARG,Argentina,2017,17-18,Manufacture of paper products and printing,Current prices,101786130000.0,6145500000.0
ARG,Argentina,2017,19,Manufacture of coke and refined petroleum products,Current prices,61520530000.0,3714400000.0
