Country ISO3,Country,Year,ISIC Division,ISIC Division Desc,Measure,Method,Value LCU (million national currency),Value USD (million USD)
ARG,Argentina,2003,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,8005.74,2760
ARG,Argentina,2003,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,2068.44,713.1
ARG,Argentina,2003,17-18,Manufacture of paper products and printing,Current prices,Source,6104.67,2104.6
ARG,Argentina,2003,19,Manufacture of coke and refined petroleum products,Current prices,Source,4229.12,1458
ARG,Argentina,2003,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,11304.05,3897.1
ARG,Argentina,2003,22,Manufacture of rubber and plastics products,Current prices,Source,4348.62,1499.2
ARG,Argentina,2003,23,Manufacture of other non-metallic mineral products,Current prices,Source,3185.76,1098.3
ARG,Argentina,2003,24,Manufacture of basic metals,Current prices,Source,7823.87,2697.3
ARG,Argentina,2003,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,11389.91,3926.7
ARG,Argentina,2003,29-30,Manufacture of transport equipment,Current prices,Source,4331.22,1493.2
ARG,Argentina,2004,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,28978.97,9913.1
ARG,Argentina,2004,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,9322.4,3189
ARG,Argentina,2004,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,2302.39,787.6
ARG,Argentina,2004,17-18,Manufacture of paper products and printing,Current prices,Source,6915.07,2365.5
ARG,Argentina,2004,19,Manufacture of coke and refined petroleum products,Current prices,Source,5809.47,1987.3
ARG,Argentina,2004,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,13155.43,4500.2
ARG,Argentina,2004,22,Manufacture of rubber and plastics products,Current prices,Source,4964.06,1698.1
ARG,Argentina,2004,23,Manufacture of other non-metallic mineral products,Current prices,Source,3602.38,1232.3
ARG,Argentina,2004,24,Manufacture of basic metals,Current prices,Source,8868.71,3033.8
ARG,Argentina,2004,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,12810.18,4382.1
ARG,Argentina,2004,29-30,Manufacture of transport equipment,Current prices,Source,5250.25,1796
ARG,Argentina,2005,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,32263.15,11111.2
